,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,2962189,Hoshimachi Suisei - GHOST [Mayu's Extreme] (Amateurre),HR1, nik's winter cup 2022 Qualifiers,1-∞
,986233,sakuzyo - Senkyou Ranbu [EX] (ktgster),HR2, nik's winter cup 2022 Qualifiers,1-∞
,3205317,Camellia vs. lapix - Solvicious [Corsace] (Lokidoki),DT1, nik's winter cup 2022 Qualifiers,1-∞
,829336,EVO+ - [A]ddiction [Insane] (Mei),DT2, nik's winter cup 2022 Qualifiers,1-∞
,,,,,
,3412659,sweet ARMS - Blade of Hope [Eternal Promise] (knowledgeking),NM1, nik's winter cup 2022 Round of  64,1-∞
,3205535,Kuki Akumu - Ki ga Kurutta Noise [Emotions] (Astronic),NM2, nik's winter cup 2022 Round of  64,1-∞
,3333973,KINEMA106 - N.M.W [GAZIMAL'S EXTRA] (Mordred),NM3, nik's winter cup 2022 Round of  64,1-∞
,1805438,Rain Man Ft. Sirah - Visionary  (Consouls DnB Edit) [Na na na na...] (JrSzZ),NM4, nik's winter cup 2022 Round of  64,1-∞
,3414749,LeaF - Kyouki Ranbu [Extreme (OD9)] (rollpan),NM5, nik's winter cup 2022 Round of  64,1-∞
,3293168,BUD VIRGIN LOGIC - x Senritsu -Schlehit Melodie- [Keqing's Virgin Expert] (Mordred),HD1, nik's winter cup 2022 Round of  64,1-∞
,125448,SHIKI - Pure Ruby [Another] (tsuka),HD2, nik's winter cup 2022 Round of  64,1-∞
,768986,ONE OK ROCK - Mikansei Koukyoukyoku [Extreme] (Saut),HR1, nik's winter cup 2022 Round of  64,1-∞
,192515,ginkiha - Oriens [Extra] (Deif),HR2, nik's winter cup 2022 Round of  64,1-∞
,2979115,Minato Aqua - Good-bye sengen [Insane] (Amateurre),DT1, nik's winter cup 2022 Round of  64,1-∞
,268080,Kozato - Tsuki -Yue- [Another] (jonathanlfj),DT2, nik's winter cup 2022 Round of  64,1-∞
,2853100,ESTi - ZERO FILL LOVE [Halberslazik's Insane] (Halfslashed),DT3, nik's winter cup 2022 Round of  64,1-∞
,140167,TJ.Hangneil - Kamui [dksslqj Style] (7odoa),FM1, nik's winter cup 2022 Round of  64,1-∞
,3412664,Aoi Shoudo - Steel Samurai [Insane] (Nightlys),FM2, nik's winter cup 2022 Round of  64,1-∞
,3256905,Marika - Truth and Light [Salvation] (ponbot),TB1, nik's winter cup 2022 Round of  64,1-∞
,,,,,
